                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                 1.1471,                0.46177,                0.98866,                0.99626,                0.99312,                0.99439,                0.59759,                 1.5365,                0.46832,                 1.3868,               0.006469,               0.006469,               0.006469
                    109,                 1.1465,                0.46908,                0.98114,                0.99827,                0.99463,                0.99484,                0.59565,                 1.5518,                0.46385,                 1.3883,               0.006436,               0.006436,               0.006436
                    110,                 1.1538,                0.47007,                0.97667,                 0.9979,                0.99656,                0.99478,                0.59485,                 1.5507,                0.45536,                 1.3984,               0.006403,               0.006403,               0.006403
                    111,                 1.1533,                0.46981,                0.98402,                0.99656,                0.99651,                0.99491,                0.59079,                 1.5659,                0.46643,                    1.4,                0.00637,                0.00637,                0.00637
                    112,                 1.1413,                0.45939,                0.97367,                0.99797,                0.99828,                  0.995,                0.58889,                 1.5741,                0.46624,                 1.4206,               0.006337,               0.006337,               0.006337
                    113,                 1.1533,                0.46716,                0.98427,                 0.9981,                0.99656,                0.99457,                0.59834,                 1.5537,                0.46214,                 1.4036,               0.006304,               0.006304,               0.006304
                    114,                 1.1582,                0.46858,                0.98631,                0.99812,                0.99656,                0.99466,                0.59346,                 1.5674,                0.46081,                 1.4123,               0.006271,               0.006271,               0.006271
                    115,                 1.1452,                0.46397,                0.98001,                0.99635,                0.99484,                0.99469,                0.59205,                 1.5678,                0.46173,                 1.4086,               0.006238,               0.006238,               0.006238
                    116,                 1.1309,                0.45692,                 0.9764,                0.99828,                0.99635,                0.99484,                0.58737,                 1.5803,                0.47101,                  1.414,               0.006205,               0.006205,               0.006205
                    117,                 1.1472,                0.46566,                0.97933,                0.99132,                0.99312,                 0.9942,                 0.5865,                 1.5725,                0.46265,                 1.4092,               0.006172,               0.006172,               0.006172
